gene	uniprot	antigen_catalog	antigen_url	antigen_is_biotinylated	molecular_weight_kda	accession	vendor_range	pdb_id	entity_id	auth_chain	identity	coverage	intersection	u_range	resolution_A	method	release_date	subunit_name
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	3WSQ	1	A	1.000	0.865	23-586	23-586	3.50	X-RAY DIFFRACTION	2015-03-25	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	4GFU	2	F	1.000	0.000	None	1246-1252	2.00	X-RAY DIFFRACTION	2013-08-07	HER2-pY1248 phosphor-peptide
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	4NND	2	C	1.000	0.000	None	1109-1114	2.50	X-RAY DIFFRACTION	2014-11-19	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	5K33	2	C	1.000	0.931	23-629	23-629	3.30	X-RAY DIFFRACTION	2017-04-12	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	5KWG	1	C	1.000	0.966	23-652	23-653	4.30	X-RAY DIFFRACTION	2017-04-12	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	5MY6	1	A	1.000	0.954	24-645	24-645	2.25	X-RAY DIFFRACTION	2017-08-09	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	5O4G	1	C	1.000	0.929	23-628	23-628	3.00	X-RAY DIFFRACTION	2018-05-16	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	5OB4	1	A	1.000	0.018	641-652	641-684		SOLUTION NMR	2017-11-22	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	5TQS	2	E	1.000	0.000	None	1218-1228	1.88	X-RAY DIFFRACTION	2017-04-19	Receptor protein-tyrosine kinase
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	6ATT	1	A	1.000	0.966	23-652	23-652	3.77	X-RAY DIFFRACTION	2018-04-25	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	6BGT	1	C	0.991	1.000	1-652	1-652	2.70	X-RAY DIFFRACTION	2018-10-31	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	6J71	1	A	1.000	0.948	22-639	22-639	2.92	X-RAY DIFFRACTION	2019-02-27	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	6LBX	2	B	0.990	0.147	531-626	531-626	2.03	X-RAY DIFFRACTION	2020-11-18	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	6OGE	1	A	1.000	0.954	23-644	23-644	4.36	ELECTRON MICROSCOPY	2019-05-15	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	7JXH	1	A	0.988	0.000	None	703-1024	3.27	X-RAY DIFFRACTION	2021-09-08	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	7PCD	1	A	0.969	0.000	None	713-1029	1.77	X-RAY DIFFRACTION	2022-07-27	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	7QVK	1	AAA	0.990	0.957	23-646	23-646	3.10	X-RAY DIFFRACTION	2023-02-01	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	8FFJ	1	X	1.000	0.954	23-644	23-644	7.50	ELECTRON MICROSCOPY	2023-02-22	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	8JYQ	3	C	1.000	0.012	611-618	611-618	1.75	X-RAY DIFFRACTION	2024-03-13	H2CasMab-1 epitope peptide
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	8JYR	1	A	0.960	0.298	23-216	23-216	1.69	X-RAY DIFFRACTION	2024-03-13	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	8PWH	5	E	1.000	0.957	23-646	23-646	3.17	ELECTRON MICROSCOPY	2024-02-21	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	8Q6J	5	E	1.000	0.957	23-646	23-646	3.30	ELECTRON MICROSCOPY	2023-09-20	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	8U4K	2	B	1.000	0.929	24-629	24-629	4.27	ELECTRON MICROSCOPY	2024-03-13	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H02H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h02h	False	96.1	NP_004439.2	1-652	8U4L	2	B	1.000	0.929	24-629	24-629	3.31	ELECTRON MICROSCOPY	2024-03-13	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	1MFG	2	B	1.000	0.000	None	1247-1255	1.25	X-RAY DIFFRACTION	2003-01-21	Erb-B2 carboxyl-terminal fragment
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	1MFL	2	B	1.000	0.000	None	1247-1255	1.88	X-RAY DIFFRACTION	2003-01-21	PHOSPHORYLATED Erb-B2 carboxyl-terminal fragment.
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	1MW4	2	B	1.000	0.000	None	1135-1144		SOLUTION NMR	2003-09-09	Receptor protein-tyrosine kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	1N8Z	3	C	1.000	0.931	23-629	23-629	2.52	X-RAY DIFFRACTION	2003-02-18	Receptor protein-tyrosine kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	1QR1	3	C	1.000	0.000	None	654-662	2.40	X-RAY DIFFRACTION	2000-01-01	GP2 PEPTIDE
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	1S78	1	A	1.000	0.957	23-646	23-646	3.25	X-RAY DIFFRACTION	2004-04-27	Receptor protein-tyrosine kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	2JWA	1	A	1.000	0.018	641-652	641-684		SOLUTION NMR	2008-01-22	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	2KS1	1	A	1.000	0.018	641-652	641-684		SOLUTION NMR	2010-06-09	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	2L4K	2	B	1.000	0.000	None	1135-1144		SOLUTION NMR	2010-11-17	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	2N2A	1	A	0.983	0.014	644-652	644-700		SOLUTION NMR	2016-02-24	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	3BE1	1	A	1.000	0.957	23-646	23-646	2.90	X-RAY DIFFRACTION	2008-11-18	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	3H3B	1	A	0.995	0.296	22-214	22-214	2.45	X-RAY DIFFRACTION	2010-04-28	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	3MZW	1	A	1.000	0.957	23-646	23-646	2.90	X-RAY DIFFRACTION	2010-07-28	Tyrosine kinase-type cell surface receptor HER2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	3N85	1	A	1.000	0.957	23-646	23-646	3.20	X-RAY DIFFRACTION	2010-07-28	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	3WLW	1	A	1.000	0.865	23-586	23-586	3.09	X-RAY DIFFRACTION	2015-05-27	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	3WSQ	1	A	1.000	0.865	23-586	23-586	3.50	X-RAY DIFFRACTION	2015-03-25	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	4GFU	2	F	1.000	0.000	None	1246-1252	2.00	X-RAY DIFFRACTION	2013-08-07	HER2-pY1248 phosphor-peptide
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	4NND	2	C	1.000	0.000	None	1109-1114	2.50	X-RAY DIFFRACTION	2014-11-19	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	5K33	2	C	1.000	0.931	23-629	23-629	3.30	X-RAY DIFFRACTION	2017-04-12	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	5KWG	1	C	1.000	0.966	23-652	23-653	4.30	X-RAY DIFFRACTION	2017-04-12	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	5MY6	1	A	1.000	0.954	24-645	24-645	2.25	X-RAY DIFFRACTION	2017-08-09	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	5O4G	1	C	1.000	0.929	23-628	23-628	3.00	X-RAY DIFFRACTION	2018-05-16	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	5OB4	1	A	1.000	0.018	641-652	641-684		SOLUTION NMR	2017-11-22	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	5TQS	2	E	1.000	0.000	None	1218-1228	1.88	X-RAY DIFFRACTION	2017-04-19	Receptor protein-tyrosine kinase
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	6ATT	1	A	1.000	0.966	23-652	23-652	3.77	X-RAY DIFFRACTION	2018-04-25	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	6BGT	1	C	0.991	1.000	1-652	1-652	2.70	X-RAY DIFFRACTION	2018-10-31	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	6J71	1	A	1.000	0.948	22-639	22-639	2.92	X-RAY DIFFRACTION	2019-02-27	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	6LBX	2	B	0.990	0.147	531-626	531-626	2.03	X-RAY DIFFRACTION	2020-11-18	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	6OGE	1	A	1.000	0.954	23-644	23-644	4.36	ELECTRON MICROSCOPY	2019-05-15	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	7JXH	1	A	0.988	0.000	None	703-1024	3.27	X-RAY DIFFRACTION	2021-09-08	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	7PCD	1	A	0.969	0.000	None	713-1029	1.77	X-RAY DIFFRACTION	2022-07-27	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	7QVK	1	AAA	0.990	0.957	23-646	23-646	3.10	X-RAY DIFFRACTION	2023-02-01	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	8FFJ	1	X	1.000	0.954	23-644	23-644	7.50	ELECTRON MICROSCOPY	2023-02-22	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	8JYQ	3	C	1.000	0.012	611-618	611-618	1.75	X-RAY DIFFRACTION	2024-03-13	H2CasMab-1 epitope peptide
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	8JYR	1	A	0.960	0.298	23-216	23-216	1.69	X-RAY DIFFRACTION	2024-03-13	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	8PWH	5	E	1.000	0.957	23-646	23-646	3.17	ELECTRON MICROSCOPY	2024-02-21	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	8Q6J	5	E	1.000	0.957	23-646	23-646	3.30	ELECTRON MICROSCOPY	2023-09-20	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	8U4K	2	B	1.000	0.929	24-629	24-629	4.27	ELECTRON MICROSCOPY	2024-03-13	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-HCCH	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-hcch	False	70.0	NP_004439.2	1-652	8U4L	2	B	1.000	0.929	24-629	24-629	3.31	ELECTRON MICROSCOPY	2024-03-13	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H08H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h08h	False	71.0	NP_004439.2	1-652	1MFG	2	B	1.000	0.000	None	1247-1255	1.25	X-RAY DIFFRACTION	2003-01-21	Erb-B2 carboxyl-terminal fragment
ERBB2	P04626	10004-H08H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h08h	False	71.0	NP_004439.2	1-652	1MFL	2	B	1.000	0.000	None	1247-1255	1.88	X-RAY DIFFRACTION	2003-01-21	PHOSPHORYLATED Erb-B2 carboxyl-terminal fragment.
ERBB2	P04626	10004-H08H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h08h	False	71.0	NP_004439.2	1-652	1MW4	2	B	1.000	0.000	None	1135-1144		SOLUTION NMR	2003-09-09	Receptor protein-tyrosine kinase erbB-2
ERBB2	P04626	10004-H08H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h08h	False	71.0	NP_004439.2	1-652	1N8Z	3	C	1.000	0.931	23-629	23-629	2.52	X-RAY DIFFRACTION	2003-02-18	Receptor protein-tyrosine kinase erbB-2
ERBB2	P04626	10004-H08H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h08h	False	71.0	NP_004439.2	1-652	1QR1	3	C	1.000	0.000	None	654-662	2.40	X-RAY DIFFRACTION	2000-01-01	GP2 PEPTIDE
ERBB2	P04626	10004-H08H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h08h	False	71.0	NP_004439.2	1-652	1S78	1	A	1.000	0.957	23-646	23-646	3.25	X-RAY DIFFRACTION	2004-04-27	Receptor protein-tyrosine kinase erbB-2
ERBB2	P04626	10004-H08H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h08h	False	71.0	NP_004439.2	1-652	2JWA	1	A	1.000	0.018	641-652	641-684		SOLUTION NMR	2008-01-22	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H08H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h08h	False	71.0	NP_004439.2	1-652	2KS1	1	A	1.000	0.018	641-652	641-684		SOLUTION NMR	2010-06-09	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H08H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h08h	False	71.0	NP_004439.2	1-652	2L4K	2	B	1.000	0.000	None	1135-1144		SOLUTION NMR	2010-11-17	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H08H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h08h	False	71.0	NP_004439.2	1-652	2N2A	1	A	0.983	0.014	644-652	644-700		SOLUTION NMR	2016-02-24	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H08H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h08h	False	71.0	NP_004439.2	1-652	3BE1	1	A	1.000	0.957	23-646	23-646	2.90	X-RAY DIFFRACTION	2008-11-18	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H08H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h08h	False	71.0	NP_004439.2	1-652	3H3B	1	A	0.995	0.296	22-214	22-214	2.45	X-RAY DIFFRACTION	2010-04-28	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H08H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h08h	False	71.0	NP_004439.2	1-652	3MZW	1	A	1.000	0.957	23-646	23-646	2.90	X-RAY DIFFRACTION	2010-07-28	Tyrosine kinase-type cell surface receptor HER2
ERBB2	P04626	10004-H08H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h08h	False	71.0	NP_004439.2	1-652	3N85	1	A	1.000	0.957	23-646	23-646	3.20	X-RAY DIFFRACTION	2010-07-28	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H08H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h08h	False	71.0	NP_004439.2	1-652	3WLW	1	A	1.000	0.865	23-586	23-586	3.09	X-RAY DIFFRACTION	2015-05-27	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H08H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h08h	False	71.0	NP_004439.2	1-652	3WSQ	1	A	1.000	0.865	23-586	23-586	3.50	X-RAY DIFFRACTION	2015-03-25	Receptor tyrosine-protein kinase erbB-2
ERBB2	P04626	10004-H08H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h08h	False	71.0	NP_004439.2	1-652	4GFU	2	F	1.000	0.000	None	1246-1252	2.00	X-RAY DIFFRACTION	2013-08-07	HER2-pY1248 phosphor-peptide
ERBB2	P04626	10004-H08H	https://www.sinobiological.com/recombinant-proteins/human-her2-erbb2-10004-h08h	False	71.0	NP_004439.2	1-652	4NND	2	C	1.000	0.000	None	1109-1114	2.50	X-RAY DIFFRACTION	2014-11-19	Receptor tyrosine-protein kinase erbB-2
