rank	selection	uniprot	gene	protein_name	organism	chosen_pdb	matched_chain	resolution_A	method	pdb_release_date	identity	coverage	pdb_vendor_intersection	vendor_accession	vendor_range	pdb_map_uniprot_range	antigen_catalog	antigen_url	biotinylated	molecular_weight_kda	product_form	expression_host	tags	quantity_ug	concentration_mg_per_ml	price_usd	pack_size	buffer	reconstitution	storage_temp	purity_percent	endotoxin_eu_per_mg	validating_assays
20	biotin	Q02223	TNFRSF17	Isoform 1 of Tumor necrosis factor receptor superfamily member 17	Homo sapiens	4ZFO	F	1.90	X-RAY DIFFRACTION	2015-05-20	1.000	1.000	1-54	Q02223-1	1-54	1-54	BCA-H82E4	https://www.acrobiosystems.com/products/protein/bcma-human-bca-h82e4	True	9.6	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	90.0	0.1	HABA assay / binding ELISA, sterility and endotoxin tests, SDS-PAGE
21	biotin	Q7Z6A9	BTLA	B- and T-lymphocyte attenuator	Homo sapiens	8F60	C	1.64	X-RAY DIFFRACTION	2023-05-24	0.967	1.000	31-150	AAP44003.1	31-150	31-150	BTA-H82E5	https://www.acrobiosystems.com/products/protein/btla-human-bta-h82e5	True	17.3	Lyophilized	HEK293	polyhistidine tag at the C-terminus, Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (reconstituted, sterile)	90.0		HABA assay / binding ELISA
22	biotin	Q7KYR7	BTN2A1	Isoform 1 of Butyrophilin subfamily 2 member A1	Homo sapiens	8ZA9	E	3.70	ELECTRON MICROSCOPY	2025-04-30	1.000	1.000	29-248	Q7KYR7-2	29-248	29-248	BT1-H52E6	https://www.acrobiosystems.com/products/protein/btn2a1-human-bt1-h52e6	True	28.1	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA
23	biotin	O00481	BTN3A1	Isoform 1 of Butyrophilin subfamily 3 member A1	Homo sapiens	6XLQ	A	3.00	X-RAY DIFFRACTION	2020-09-02	1.000	1.000	30-254	O00481-1	30-254	30-254	BT1-H82E4	https://www.acrobiosystems.com/products/protein/btn3a1-human-bt1-h82e4	True	27.7	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA
24	biotin	P78410	BTN3A2	Isoform 1 of Butyrophilin subfamily 3 member A2	Homo sapiens	9J5M	C	3.94	ELECTRON MICROSCOPY	2025-05-21	1.000	1.000	30-248	P78410-1	30-248	30-248	BT2-H82E7	https://www.acrobiosystems.com/products/protein/btn3a2-human-bt2-h82e7	True	27.3	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA
25	biotin	P02741	CRP	Isoform 1 of C-reactive protein	Homo sapiens	3PVN	A	1.98	X-RAY DIFFRACTION	2012-01-11	1.000	1.000	19-224	P02741-1	19-224	19-224	CRP-H82E4	https://www.acrobiosystems.com/products/protein/c-reactive-protein-human-crp-h82e4	True	26.6	0.2 μm filtered solution	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					20 mM Tris, 1 M Nacl, pH8.0 with trehalose as protectant		-70°C or lower	95.0		HABA assay / binding ELISA
26	biotin	Q9NPY3	CD93	Complement component C1q receptor	Homo sapiens	8IVD	A	3.24	X-RAY DIFFRACTION	2024-01-17	1.000	0.578	25-347	Q9NPY3-1	22-580	25-347	C11-H82E9	https://www.acrobiosystems.com/products/protein/c1q-r1-human-c11-h82e9	True	62.0	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA
27	biotin	P41180	CASR	Isoform 1 of Extracellular calcium-sensing receptor	Homo sapiens	7M3G	A	2.50	ELECTRON MICROSCOPY	2021-06-30	1.000	1.000	20-601	P41180-1	20-601	20-601	CAR-H82E3	https://www.acrobiosystems.com/products/protein/casr-human-car-h82e3	True	68.8	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	90.0		HABA assay / binding ELISA
28	biotin	P22362	CCL1	C-C motif chemokine 1	Homo sapiens	4OIJ	A	2.00	X-RAY DIFFRACTION	2014-05-07	1.000	1.000	24-96	P22362-1	24-96	24-96	CC1-H82E9	https://www.acrobiosystems.com/products/protein/ccl1-human-cc1-h82e9	True	12.1	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	90.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
29	biotin	P32248	CCR7	C-C chemokine receptor type 7	Homo sapiens	6QZH	A	2.10	X-RAY DIFFRACTION	2019-09-04	0.985	0.579	46-250	P32248	25-378	46-250	CC7-H82D4	https://www.acrobiosystems.com/products/protein/ccr7-human-cc7-h82d4	True	61.2	0.2 μm filtered solution in 50 mM HEPES, 150 mM NaCl, Buffer B, pH7.5 with glycerol as protectant	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, Flag tag at the C-terminus, Avi tag (Avitag™)					50 mM HEPES, 150 mM NaCl, Buffer B, pH7.5 with glycerol as protectant	If glycerol is not compatible with your application, remove glycerol just before the immediate experiment, and NEVER store glycerol-free protein solution.	-70°C or lower	90.0		HABA assay / binding ELISA, SDS-PAGE
30	biotin	P51686	CCR9	Isoform 1 of C-C chemokine receptor type 9	Homo sapiens	5LWE	A	2.80	X-RAY DIFFRACTION	2016-12-07	0.966	0.867	23-341	P51686-1	2-369	23-341	CC9-H82D3	https://www.acrobiosystems.com/products/protein/ccr9-human-cc9-h82d3	True	47.7	0.2 μm filtered solution	human 293 cells (HEK293)	Flag tag at the N-terminus, polyhistidine tag at the C-terminus, Avi tag (Avitag™)					50 mM HEPES, 150 mM NaCl, DDM, CHS, pH7.5 with glycerol as protectant		-70°C or lower			HABA assay / binding ELISA
31	biotin	Q6YHK3	CD109	Isoform 1 of CD109 antigen	Homo sapiens	8S3O	A	2.99	ELECTRON MICROSCOPY	2025-03-05	1.000	1.000	22-1269	Q6YHK3-1	22-1269	22-1269	CD9-H82E4	https://www.acrobiosystems.com/products/protein/cd109-human-cd9-h82e4	True	143.5	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA
32	biotin	P10721	KIT	Isoform 2 of Mast/stem cell growth factor receptor Kit	Homo sapiens	8DFP	A	3.17	ELECTRON MICROSCOPY	2023-03-29	1.000	0.988	32-516	P10721-2	26-516	32-516	CD7-H82E6	https://www.acrobiosystems.com/products/protein/cd117-human-cd7-h82e6	True	58.8	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution	95.0		HABA assay / binding ELISA, SDS-PAGE, SEC-MALS
33	biotin	P08571	CD14	Monocyte differentiation antigen CD14	Homo sapiens	4GLP	A	4.00	X-RAY DIFFRACTION	2012-12-26	0.997	0.954	26-335	P08571-1	20-344	26-335	CD4-H8228	https://www.acrobiosystems.com/products/protein/cd14-human-cd4-h8228	True	38.6	Lyophilized	HEK293	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile conditions)	95.0		HABA assay / binding ELISA
34	biotin	P15151	PVR	Poliovirus receptor	Homo sapiens	3J8F	7	4.00	ELECTRON MICROSCOPY	2015-02-11	0.997	1.000	21-343	NP_006496.4	21-343	21-343	CD5-H82E3	https://www.acrobiosystems.com/products/protein/cd155-human-cd5-h82e3	True	38.8	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA
35	biotin	P15391	CD19	Isoform 1 of B-lymphocyte antigen CD19	Homo sapiens	7JIC	A	3.80	ELECTRON MICROSCOPY	2021-01-20	1.000	1.000	20-291	P15391-1	20-291	20-291	CD9-H82E9	https://www.acrobiosystems.com/products/protein/cd19-human-cd9-h82e9	True	33.7	Lyophilized	HEK293	His, Avitag					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	90.0	10.0	HABA assay / binding ELISA, SDS-PAGE, sterility and endotoxin tests
36	biotin	P06729	CD2	T-cell surface antigen CD2	Homo sapiens	1HNF	A	2.50	X-RAY DIFFRACTION	1995-02-07	1.000	0.984	25-206	AAH33583	25-209	25-206	CD2-H82E6	https://www.acrobiosystems.com/products/protein/cd2-human-cd2-h82e6	True	24.8	Lyophilized	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					PBS, pH7.4 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C or lower (lyophilized); -20°C to -70°C for 12 months (lyophilized); -70°C for 3 months (after reconstitution, sterile)	95.0		HABA assay / binding ELISA
37	biotin	P11836	MS4A1	Isoform 1 of B-lymphocyte antigen CD20	Homo sapiens	8VGN	G	2.50	ELECTRON MICROSCOPY	2024-11-06	0.992	0.875	38-297	P11836-1	1-297	38-297	CD0-H82E5	https://www.acrobiosystems.com/products/protein/cd20-human-cd0-h82e5	True	36.9	0.2 μm filtered solution	human 293 cells (HEK293)	polyhistidine tag at the C-terminus, followed by an Avi tag (Avitag™)					50 mM HEPES, 150 mM NaCl, DDM, CHS, pH7.5 with glycerol as protectant		-70°C or lower	90.0		HABA assay / binding ELISA
38	biotin	Q8TD46	CD200R1	Cell surface glycoprotein CD200 receptor 1	Homo sapiens	9GWT	P	2.89	X-RAY DIFFRACTION	2024-10-23	0.969	0.929	44-266	AAQ19772.1	27-266	44-266	CR2-H82F4	https://www.acrobiosystems.com/products/protein/cd200-r1-human-cr2-h82f4	True	55.8	Lyophilized	human 293 cells (HEK293)	human IgG1 Fc tag at the C-terminus, followed by an Avi tag (Avitag™)					Tris with Glycine, Arginine and NaCl, pH7.5 with trehalose as protectant	Please see Certificate of Analysis for specific instructions. For best performance, we strongly recommend you to follow the reconstitution protocol provided in the CoA.	-20°C to -70°C for 12 months in lyophilized state; -70°C for 3 months under sterile conditions after reconstitution.	95.0		HABA assay / binding ELISA
